AccidentSeverity,Region,LightCondition,WeatherCondition,AccidentMonth,AccidentDay,Accidents
Slight,North East,Daylight,Fine,February,Monday,17
Slight,North East,Daylight,Fine,February,Wednesday,8
Serious,North East,Darkness - lights lit,Fine,February,Friday,4
Slight,North East,Daylight,Fine + high winds,February,Thursday,3
Fatal,North East,Darkness - lights lit,Fine,February,Saturday,2
Slight,North East,Darkness - lights lit,Fine,February,Thursday,2
Slight,North East,Darkness - no lighting,Fine,February,Tuesday,1
Serious,North East,Daylight,Fine + high winds,February,Thursday,2
Serious,North East,Daylight,Fine,February,Saturday,5
Slight,North East,Darkness - lights lit,Other,February,Saturday,1
Slight,North East,Daylight,Unknown,February,Thursday,1
Slight,North East,Daylight,Unknown,February,Sunday,2
Slight,North East,Daylight,Fine,February,Saturday,8
Serious,North East,Daylight,Raining,February,Sunday,1
Slight,North East,Daylight,Unknown,February,Friday,3
Slight,North East,Daylight,Unknown,February,Wednesday,1
Slight,North East,Daylight,Raining,February,Monday,3
Slight,North East,Darkness - lights lit,Unknown,February,Sunday,2
Slight,North East,Darkness - lights lit,Unknown,February,Friday,2
Serious,North East,Daylight,Fine + high winds,February,Wednesday,1
Serious,North East,Darkness - lights lit,Fine + high winds,February,Wednesday,1
Slight,North East,Darkness - lighting unknown,Fine,February,Sunday,2
Slight,North East,Darkness - lights lit,Fine,February,Monday,2
Serious,North East,Daylight,Fine,February,Thursday,3
Slight,North East,Daylight,Other,February,Tuesday,1
Slight,North East,Darkness - lights lit,Snowing + high winds,February,Friday,1
Slight,North East,Darkness - no lighting,Fine,February,Friday,2
Slight,North East,Darkness - lights lit,Raining,February,Sunday,1
Slight,North East,Daylight,Raining,February,Friday,1
Slight,North East,Darkness - lights lit,Fine,February,Tuesday,2
Slight,North East,Daylight,Raining heavily,February,Thursday,1
Slight,North East,Daylight,Raining,February,Tuesday,3
Slight,North East,Daylight,Fine + high winds,February,Monday,1
Slight,North East,Daylight,Other,February,Monday,2
Slight,North East,Daylight,Fine + high winds,February,Friday,2
Slight,North East,Daylight,Raining heavily,February,Tuesday,1
Slight,North East,Darkness - lighting unknown,Unknown,February,Wednesday,1
Slight,North East,Daylight,Unknown,February,Tuesday,1
Slight,North East,Darkness - lighting unknown,Fine + high winds,February,Sunday,1
Slight,North East,Darkness - lights lit,Fine,February,Friday,4
Serious,North East,Darkness - lights lit,Fine,February,Sunday,1
Serious,North East,Darkness - lights lit,Raining,February,Wednesday,1
Slight,North East,Daylight,Fine,March,Tuesday,28
Slight,North East,Darkness - lights unlit,Raining,February,Monday,1
Slight,North East,Daylight,Raining,March,Thursday,4
Serious,North East,Daylight,Other,March,Wednesday,1
Slight,North East,Daylight,Fine,March,Thursday,28
Slight,North East,Darkness - lights lit,Raining,March,Thursday,1
Slight,North East,Daylight,Fine,March,Wednesday,28
Serious,North East,Daylight,Fine,March,Thursday,10
Serious,North East,Daylight,Fine,March,Friday,9
Slight,North East,Daylight,Fine,March,Friday,23
Slight,North East,Darkness - lighting unknown,Unknown,March,Saturday,1
Slight,North East,Darkness - lights lit,Fine,March,Saturday,7
Slight,North East,Darkness - no lighting,Fine,February,Sunday,1
Slight,North East,Daylight,Fine,March,Saturday,21
Slight,North East,Daylight,Fine,March,Sunday,19
Serious,North East,Daylight,Fine,March,Sunday,2
Slight,North East,Daylight,Fine,March,Monday,25
Serious,North East,Daylight,Fine,March,Monday,3
Serious,North East,Darkness - lights lit,Fine,March,Monday,1
Slight,North East,Darkness - lights lit,Fine,March,Tuesday,4
Slight,North East,Darkness - no lighting,Fine,March,Monday,1
Slight,North East,Daylight,Fine + high winds,March,Friday,1
Slight,North East,Darkness - lights lit,Fine,March,Friday,3
Serious,North East,Darkness - lights lit,Raining,March,Friday,1
Fatal,North East,Daylight,Fine,March,Thursday,2
Serious,North East,Darkness - lights lit,Fine,March,Saturday,2
Serious,North East,Daylight,Fine,March,Wednesday,4
Slight,North East,Daylight,Raining,March,Wednesday,5
Slight,North East,Darkness - lights lit,Fine,March,Thursday,5
Serious,North East,Darkness - lights lit,Fine,March,Tuesday,1
Serious,North East,Daylight,Fine,February,Friday,3
Serious,North East,Daylight,Fine,March,Saturday,7
Slight,North East,Daylight,Unknown,March,Thursday,1
Slight,North East,Daylight,Fine + high winds,March,Thursday,1
Slight,North East,Darkness - no lighting,Fine,March,Tuesday,4
Serious,North East,Darkness - lights lit,Fine,March,Thursday,2
Serious,North East,Darkness - no lighting,Fine,March,Thursday,1
Serious,North East,Darkness - lights lit,Fine,March,Friday,4
Slight,North East,Darkness - lights lit,Fine,March,Sunday,7
Slight,North East,Daylight,Snowing,April,Friday,3
Slight,North East,Darkness - lights lit,Other,March,Thursday,2
Slight,North East,Daylight,Fine,April,Friday,33
Slight,North East,Darkness - lights lit,Snowing,March,Thursday,2
Serious,North East,Daylight,Raining,March,Thursday,2
Serious,North East,Darkness - lights lit,Fine,April,Friday,2
Serious,North East,Darkness - lights lit,Fine,April,Saturday,2
Serious,North East,Darkness - lights lit,Fine,March,Sunday,3
Serious,North East,Darkness - no lighting,Fine,March,Sunday,2
Slight,North East,Daylight,Fine,April,Monday,15
Serious,North East,Daylight,Fine,April,Tuesday,8
Slight,North East,Daylight,Fine,April,Saturday,22
Slight,North East,Darkness - lights lit,Fine,April,Saturday,5
Slight,North East,Darkness - lighting unknown,Snowing + high winds,March,Wednesday,1
Slight,North East,Darkness - lights lit,Other,April,Monday,1
Slight,North East,Darkness - lights lit,Raining,April,Sunday,1
Slight,North East,Darkness - lights lit,Raining,April,Wednesday,1
Slight,North East,Daylight,Fine,April,Wednesday,22
Slight,North East,Daylight,Fine,April,Tuesday,13
Slight,North East,Daylight,Fine + high winds,April,Tuesday,2
Slight,North East,Darkness - no lighting,Fine,April,Thursday,1
Slight,North East,Daylight,Fine,April,Thursday,14
Slight,North East,Darkness - lights lit,Unknown,April,Wednesday,1
Serious,North East,Daylight,Fine,April,Friday,11
Slight,North East,Daylight,Fine,April,Sunday,9
Slight,North East,Darkness - no lighting,Snowing,April,Friday,1
Serious,North East,Daylight,Fine,April,Sunday,5
Slight,North East,Daylight,Raining,April,Tuesday,1
Serious,North East,Darkness - lights lit,Fine,February,Monday,6
Slight,North East,Darkness - lights lit,Fine,April,Tuesday,2
Serious,North East,Daylight,Fine,April,Wednesday,5
Serious,North East,Daylight,Raining,April,Tuesday,1
Slight,North East,Darkness - lighting unknown,Fine,April,Sunday,1
Serious,North East,Darkness - lighting unknown,Fine,April,Saturday,1
Fatal,North East,Darkness - lights lit,Fine,April,Monday,1
Serious,North East,Darkness - lights lit,Fine,April,Sunday,2
Slight,North East,Darkness - lights lit,Fine,April,Monday,4
Serious,North East,Daylight,Fine,April,Thursday,7
Serious,North East,Daylight,Fine,April,Saturday,5
Slight,North East,Darkness - lights lit,Fine,April,Sunday,5
Slight,North East,Daylight,Unknown,April,Saturday,1
Serious,North East,Darkness - lights lit,Fine,April,Tuesday,1
Serious,North East,Daylight,Fine,April,Monday,6
Slight,North East,Daylight,Unknown,April,Monday,1
Fatal,North East,Daylight,Fine,April,Friday,2
Slight,North East,Darkness - lighting unknown,Fine,May,Sunday,1
Serious,North East,Darkness - lights lit,Unknown,May,Sunday,1
Slight,North East,Daylight,Fine,May,Sunday,19
Serious,North East,Daylight,Fine,May,Sunday,5
Slight,North East,Daylight,Fine,May,Monday,21
Slight,North East,Daylight,Fine,May,Tuesday,28
Slight,North East,Daylight,Raining,April,Saturday,1
Serious,North East,Daylight,Fine,May,Tuesday,4
Slight,North East,Daylight,Unknown,May,Wednesday,1
Slight,North East,Darkness - lights lit,Fine,May,Wednesday,2
Slight,North East,Daylight,Fine,May,Thursday,28
Slight,North East,Daylight,Fine,May,Friday,17
Slight,North East,Daylight,Fine,May,Wednesday,24
Serious,North East,Darkness - lights lit,Fine,May,Friday,2
Slight,North East,Daylight,Fine,May,Saturday,13
Serious,North East,Daylight,Fine,May,Saturday,11
Serious,North East,Daylight,Raining,May,Friday,1
Serious,North East,Daylight,Fine,May,Thursday,12
Slight,North East,Daylight,Raining,May,Friday,4
Slight,North East,Daylight,Unknown,May,Sunday,2
Slight,North East,Daylight,Unknown,May,Friday,1
Serious,North East,Daylight,Fine,May,Wednesday,11
Fatal,North East,Darkness - lights lit,Fine,May,Saturday,1
Serious,North East,Darkness - lights lit,Fine,May,Sunday,2
Slight,North East,Darkness - lights lit,Fine,May,Friday,3
Slight,North East,Darkness - lights lit,Fine,May,Monday,1
Slight,North East,Darkness - lights lit,Raining,May,Monday,2
Serious,North East,Daylight,Fine,May,Friday,4
Slight,North East,Darkness - lights lit,Fine,April,Friday,2
Slight,North East,Daylight,Raining,May,Tuesday,3
Slight,North East,Daylight,Unknown,May,Tuesday,1
Slight,North East,Darkness - lights lit,Unknown,May,Wednesday,1
Slight,North East,Daylight,Raining,May,Monday,2
Serious,North East,Daylight,Fine,May,Monday,3
Slight,North East,Daylight,Fine + high winds,May,Saturday,1
Serious,North East,Daylight,Fine,June,Wednesday,11
Slight,North East,Daylight,Raining,June,Thursday,2
Serious,North East,Daylight,Fine,June,Friday,13
Serious,North East,Daylight,Fine,June,Saturday,10
Fatal,North East,Daylight,Fine,June,Friday,2
Slight,North East,Daylight,Fine,June,Friday,26
Slight,North East,Daylight,Fine,June,Sunday,14
Serious,North East,Daylight,Fine,June,Sunday,5
Slight,North East,Daylight,Fine,June,Saturday,12
Slight,North East,Darkness - lights lit,Fine,June,Saturday,2
Serious,North East,Daylight,Raining,June,Sunday,1
Slight,North East,Daylight,Fine,June,Tuesday,30
Slight,North East,Daylight,Fine,June,Monday,13
Serious,North East,Daylight,Fine,June,Tuesday,11
Slight,North East,Darkness - lights lit,Fine,June,Wednesday,3
Slight,North East,Daylight,Raining,June,Wednesday,4
Slight,North East,Daylight,Fine,June,Wednesday,25
Serious,North East,Daylight,Fine,June,Monday,8
Slight,North East,Daylight,Fine,June,Thursday,24
Serious,North East,Daylight,Fine,June,Thursday,14
Serious,North East,Darkness - lights lit,Fine,June,Sunday,2
Slight,North East,Daylight,Raining,June,Friday,1
Fatal,North East,Daylight,Fine,June,Saturday,2
Fatal,North East,Darkness - no lighting,Fine,June,Wednesday,1
Slight,North East,Darkness - lights lit,Fine,June,Sunday,1
Serious,North East,Daylight,Fine,July,Friday,13
Slight,North East,Daylight,Raining,July,Friday,4
Serious,North East,Daylight,Raining,June,Thursday,1
Slight,North East,Darkness - no lighting,Fine,July,Saturday,1
Slight,North East,Daylight,Fine,July,Friday,26
Slight,North East,Daylight,Fine,July,Saturday,27
Slight,North East,Darkness - lights lit,Fine,July,Friday,5
Serious,North East,Daylight,Fine,July,Sunday,6
Slight,North East,Daylight,Fine,July,Monday,15
Serious,North East,Daylight,Fine,July,Monday,6
Slight,North East,Daylight,Fine,July,Sunday,19
Slight,North East,Darkness - lights lit,Fine,July,Saturday,7
Slight,North East,Daylight,Fine,July,Tuesday,23
Slight,North East,Darkness - lights lit,Fine,July,Sunday,4
Slight,North East,Daylight,Fine,July,Wednesday,22
Serious,North East,Daylight,Fine,July,Wednesday,13
Slight,North East,Daylight,Fine,July,Thursday,22
Fatal,North East,Daylight,Fine,July,Friday,2
Serious,North East,Daylight,Fine,July,Saturday,6
Serious,North East,Darkness - lights lit,Fine,July,Saturday,2
Serious,North East,Darkness - lights lit,Fine,June,Monday,1
Slight,North East,Darkness - lights lit,Fine,July,Thursday,3
Slight,North East,Darkness - lights lit,Fine,July,Monday,1
Slight,North East,Darkness - lights lit,Fine,July,Wednesday,1
Serious,North East,Darkness - lights lit,Fine,July,Sunday,2
Serious,North East,Daylight,Fine,July,Tuesday,8
Serious,North East,Daylight,Raining,July,Thursday,1
Slight,North East,Daylight,Unknown,July,Thursday,1
Serious,North East,Darkness - lights lit,Fine,June,Saturday,2
Slight,North East,Daylight,Raining,July,Thursday,1
Fatal,North East,Daylight,Fine,July,Monday,1
Serious,North East,Darkness - lighting unknown,Fine,July,Sunday,1
Slight,North East,Daylight,Other,July,Friday,1
Slight,North East,Daylight,Unknown,July,Wednesday,1
Serious,North East,Darkness - lighting unknown,Fine,July,Friday,1
Serious,North East,Darkness - no lighting,Fine,July,Sunday,1
Serious,North East,Daylight,Fine,August,Monday,7
Serious,North East,Daylight,Fine,August,Tuesday,10
Slight,North East,Daylight,Fine,August,Tuesday,24
Serious,North East,Daylight,Fine,August,Wednesday,3
Slight,North East,Daylight,Fine,August,Wednesday,33
Fatal,North East,Darkness - lights lit,Fine,July,Sunday,1
Slight,North East,Daylight,Fine,August,Thursday,27
Serious,North East,Daylight,Fine,August,Thursday,15
Slight,North East,Daylight,Fine,August,Friday,30
Slight,North East,Daylight,Fine,August,Saturday,20
Slight,North East,Daylight,Raining,August,Friday,1
Slight,North East,Daylight,Fine,August,Monday,20
Fatal,North East,Daylight,Fine,August,Sunday,1
Serious,North East,Darkness - lights lit,Fine,August,Sunday,1
Slight,North East,Daylight,Fine,August,Sunday,13
Serious,North East,Daylight,Raining,July,Saturday,1
Slight,North East,Daylight,Raining,August,Wednesday,1
Serious,North East,Daylight,Fine,August,Friday,9
Slight,North East,Darkness - lights lit,Fine,August,Wednesday,3
Serious,North East,Darkness - lights lit,Fine,August,Saturday,1
Serious,North East,Daylight,Fine,August,Saturday,4
Slight,North East,Daylight,Raining,August,Tuesday,4
Slight,North East,Darkness - lights lit,Fine,August,Saturday,4
Slight,North East,Darkness - lights lit,Fine,August,Friday,2
Serious,North East,Darkness - lights lit,Fine,August,Thursday,1
Slight,North East,Darkness - lights lit,Fine,August,Monday,1
Serious,North East,Daylight,Fine,August,Sunday,5
Serious,North East,Darkness - lighting unknown,Unknown,August,Saturday,1
Slight,North East,Daylight,Raining,July,Tuesday,1
Slight,North East,Darkness - lights lit,Fine,August,Thursday,1
Slight,North East,Darkness - lights lit,Fine,August,Sunday,2
Slight,North East,Darkness - lights lit,Fog or mist,August,Monday,1
Fatal,North East,Darkness - no lighting,Fine,August,Sunday,1
Serious,North East,Darkness - no lighting,Fine,August,Sunday,1
Slight,North East,Darkness - no lighting,Fine,August,Saturday,2
Slight,North East,Daylight,Fine,September,Thursday,22
Slight,North East,Darkness - lights lit,Fine,August,Tuesday,2
Slight,North East,Daylight,Fine,September,Friday,32
Slight,North East,Daylight,Fine,September,Saturday,20
Slight,North East,Daylight,Fine,September,Sunday,10
Slight,North East,Darkness - lights lit,Fine,September,Friday,8
Slight,North East,Daylight,Other,September,Monday,1
Serious,North East,Daylight,Fine,September,Monday,8
Slight,North East,Daylight,Fine,September,Monday,15
Serious,North East,Daylight,Fine,September,Tuesday,6
Slight,North East,Daylight,Fine,September,Tuesday,24
Slight,North East,Darkness - lights lit,Fine,September,Wednesday,3
Slight,North East,Daylight,Fine,September,Wednesday,20
Fatal,North East,Daylight,Fine,September,Wednesday,1
Serious,North East,Darkness - lights lit,Fine,August,Tuesday,2
Serious,North East,Daylight,Fine,September,Sunday,4
Slight,North East,Daylight,Raining,September,Thursday,7
Serious,North East,Daylight,Raining,September,Friday,2
Slight,North East,Daylight,Raining,September,Saturday,2
Slight,North East,Darkness - lights lit,Fine,September,Sunday,4
Serious,North East,Daylight,Fine,September,Saturday,4
Serious,North East,Daylight,Fine,September,Wednesday,9
Fatal,North East,Darkness - lights lit,Fine,August,Sunday,1
Slight,North East,Daylight,Raining,September,Friday,6
Slight,North East,Daylight,Raining,September,Monday,2
Serious,North East,Daylight,Unknown,August,Wednesday,1
Serious,North East,Daylight,Fine,September,Friday,3
Slight,North East,Daylight,Raining,September,Sunday,1
Slight,North East,Darkness - lights lit,Fine,September,Tuesday,2
Slight,North East,Darkness - lights lit,Fine,September,Thursday,3
Serious,North East,Daylight,Raining,September,Thursday,3
Serious,North East,Daylight,Fine,September,Thursday,4
Serious,North East,Darkness - lights lit,Fine,August,Monday,1
Slight,North East,Darkness - lights lit,Raining,September,Friday,1
Serious,North East,Darkness - lights lit,Fine,September,Wednesday,1
Serious,North East,Darkness - lights lit,Raining,September,Wednesday,1
Slight,North East,Darkness - lights lit,Raining,September,Wednesday,1
Slight,North East,Darkness - lights lit,Fine,September,Saturday,4
Serious,North East,Daylight,Raining,September,Tuesday,2
Slight,North East,Darkness - lights lit,Fine,October,Saturday,6
Serious,North East,Daylight,Raining,September,Sunday,1
Slight,North East,Daylight,Other,September,Thursday,1
Slight,North East,Daylight,Fine,October,Saturday,30
Serious,North East,Daylight,Fine,October,Tuesday,9
Serious,North East,Daylight,Fine,October,Sunday,6
Slight,North East,Daylight,Fine,October,Tuesday,24
Slight,North East,Darkness - lights lit,Fine,October,Monday,2
Slight,North East,Daylight,Fine,October,Sunday,17
Slight,North East,Darkness - lights lit,Raining,September,Monday,1
Slight,North East,Darkness - lights lit,Fine,October,Thursday,4
Slight,North East,Darkness - lights lit,Raining,October,Wednesday,1
Serious,North East,Darkness - no lighting,Fine,September,Sunday,1
Slight,North East,Daylight,Fine,October,Thursday,15
Slight,North East,Daylight,Fine,October,Wednesday,10
Slight,North East,Daylight,Raining,October,Thursday,5
Slight,North East,Daylight,Fine,October,Friday,23
Serious,North East,Darkness - lighting unknown,Fine,October,Thursday,1
Serious,North East,Darkness - no lighting,Fine,October,Sunday,2
Serious,North East,Daylight,Fine,October,Thursday,7
Slight,North East,Daylight,Raining,October,Friday,2
Slight,North East,Daylight,Raining,October,Wednesday,2
Slight,North East,Daylight,Fine + high winds,October,Friday,1
Slight,North East,Darkness - lights lit,Fine,October,Sunday,5
Serious,North East,Daylight,Fine,October,Monday,8
Slight,North East,Darkness - lights lit,Raining,October,Sunday,3
Serious,North East,Daylight,Fine,October,Saturday,8
Slight,North East,Darkness - lighting unknown,Fine,October,Monday,1
Slight,North East,Darkness - lights lit,Fine,October,Friday,5
Serious,North East,Daylight,Fine + high winds,October,Monday,1
Slight,North East,Darkness - lights lit,Raining,October,Saturday,2
Slight,North East,Daylight,Fine,October,Monday,28
Slight,North East,Darkness - lights lit,Fine,October,Tuesday,5
Serious,North East,Darkness - lights lit,Raining,October,Thursday,1
Slight,North East,Darkness - lights lit,Fine,October,Wednesday,2
Slight,North East,Darkness - lights lit,Raining,October,Thursday,2
Slight,North East,Darkness - lights lit,Raining,October,Friday,1
Serious,North East,Daylight,Fine,October,Friday,6
Slight,North East,Daylight,Raining,October,Sunday,1
Serious,North East,Darkness - lights lit,Fine,October,Monday,2
Serious,North East,Darkness - lights lit,Raining,January,Wednesday,1
Fatal,North East,Daylight,Fine,October,Tuesday,1
Slight,North East,Darkness - no lighting,Fine,October,Thursday,1
Slight,North East,Daylight,Fine,November,Tuesday,20
Serious,North East,Darkness - lights lit,Fine,October,Saturday,2
Serious,North East,Daylight,Fine,November,Tuesday,3
Serious,North East,Darkness - lights lit,Fine,October,Sunday,3
Slight,North East,Darkness - lights lit,Raining,November,Tuesday,5
Slight,North East,Darkness - lighting unknown,Raining,October,Monday,1
Serious,North East,Daylight,Fine,November,Wednesday,7
Slight,North East,Darkness - lights lit,Fine,November,Tuesday,5
Slight,North East,Darkness - lights lit,Fine,November,Wednesday,12
Slight,North East,Darkness - lighting unknown,Raining,November,Tuesday,1
Slight,North East,Darkness - lights lit,Raining,October,Monday,1
Slight,North East,Daylight,Fine,November,Wednesday,19
Serious,North East,Darkness - lights lit,Fine,November,Friday,5
Slight,North East,Darkness - lights lit,Raining heavily,November,Wednesday,1
Slight,North East,Daylight,Raining,November,Saturday,3
Slight,North East,Daylight,Fine,November,Thursday,16
Slight,North East,Daylight,Fine,November,Friday,23
Serious,North East,Darkness - lights unlit,Fog or mist,November,Saturday,1
Slight,North East,Darkness - lights lit,Fine,November,Saturday,8
Serious,North East,Daylight,Raining,November,Saturday,1
Serious,North East,Daylight,Fine,November,Sunday,5
Serious,North East,Daylight,Fine + high winds,November,Wednesday,2
Slight,North East,Daylight,Fine,November,Monday,12
Slight,North East,Daylight,Raining,November,Thursday,5
Slight,North East,Darkness - lights lit,Fine,November,Friday,9
Slight,North East,Daylight,Fine,November,Saturday,12
Serious,North East,Daylight,Fine,November,Saturday,2
Serious,North East,Darkness - lights unlit,Other,November,Tuesday,1
Slight,North East,Darkness - no lighting,Fine,November,Friday,3
Serious,North East,Daylight,Fine,November,Friday,6
Slight,North East,Darkness - lights lit,Raining,November,Friday,2
Slight,North East,Darkness - lights lit,Fine,November,Sunday,4
Slight,North East,Darkness - lights lit,Fine,November,Monday,7
Slight,North East,Darkness - lights lit,Fine,November,Thursday,9
Fatal,North East,Darkness - lights lit,Fine,November,Monday,1
Slight,North East,Darkness - lights unlit,Fine,November,Monday,1
Serious,North East,Daylight,Raining,October,Thursday,2
Slight,North East,Daylight,Raining,November,Sunday,1
Slight,North East,Daylight,Raining,November,Tuesday,1
Serious,North East,Darkness - lights lit,Raining,November,Tuesday,1
Slight,North East,Daylight,Unknown,November,Thursday,1
Serious,North East,Daylight,Raining,November,Thursday,1
Slight,North East,Darkness - lights lit,Raining,November,Thursday,5
Slight,North East,Darkness - lighting unknown,Raining heavily,November,Thursday,1
Slight,North East,Daylight,Raining,November,Wednesday,2
Serious,North East,Darkness - lights lit,Unknown,November,Tuesday,1
Slight,North East,Daylight,Unknown,November,Sunday,1
Slight,North East,Darkness - lights lit,Raining,November,Wednesday,6
Slight,North East,Darkness - lights lit,Raining,November,Sunday,1
Fatal,North East,Darkness - lighting unknown,Fine,November,Sunday,1
Slight,North East,Darkness - no lighting,Unknown,November,Sunday,1
Serious,North East,Daylight,Other,November,Monday,1
Serious,North East,Darkness - no lighting,Fine,November,Wednesday,4
Serious,North East,Darkness - lights lit,Unknown,November,Thursday,1
Serious,North East,Darkness - lights lit,Fine,November,Wednesday,5
Serious,North East,Darkness - no lighting,Fine,November,Thursday,2
Slight,North East,Darkness - lights unlit,Fine,November,Wednesday,1
Slight,North East,Darkness - lights lit,Unknown,November,Thursday,1
Slight,North East,Darkness - no lighting,Fine,November,Thursday,3
Serious,North East,Darkness - lights lit,Fine,November,Sunday,5
Slight,North East,Darkness - lighting unknown,Fine,February,Wednesday,1
Serious,North East,Daylight,Fine,November,Thursday,1
Slight,North East,Daylight,Fine,November,Sunday,5
Serious,North East,Darkness - lights lit,Fog or mist,November,Monday,1
Serious,North East,Darkness - lights unlit,Fine,November,Friday,1
Slight,North East,Darkness - no lighting,Fine,November,Wednesday,3
Serious,North East,Darkness - lights lit,Fine,November,Monday,2
Slight,North East,Daylight,Fine,December,Thursday,10
Slight,North East,Darkness - no lighting,Fog or mist,November,Wednesday,1
Slight,North East,Darkness - lights lit,Fine,December,Thursday,12
Slight,North East,Daylight,Fine,December,Friday,12
Slight,North East,Darkness - no lighting,Fine,December,Friday,1
Slight,North East,Daylight,Fog or mist,November,Wednesday,1
Serious,North East,Darkness - lights lit,Fine,December,Saturday,2
Serious,North East,Daylight,Fine,December,Saturday,3
Fatal,North East,Darkness - lights lit,Fine,December,Saturday,2
Slight,North East,Daylight,Fine,December,Sunday,8
Slight,North East,Darkness - lights lit,Fine,December,Friday,7
Slight,North East,Darkness - lights lit,Fine,December,Tuesday,6
Slight,North East,Darkness - lights lit,Fine,December,Monday,6
Slight,North East,Daylight,Fine,December,Saturday,8
Slight,North East,Darkness - lights lit,Fine,December,Saturday,4
Slight,North East,Daylight,Fine,December,Tuesday,11
Slight,North East,Darkness - lights lit,Raining,December,Saturday,4
Slight,North East,Daylight,Fine,December,Monday,9
Slight,North East,Darkness - lights lit,Other,December,Tuesday,2
Slight,North East,Daylight,Raining,December,Monday,2
Slight,North East,Darkness - lights lit,Fine,December,Sunday,6
Slight,North East,Daylight,Raining,December,Sunday,1
Serious,North East,Daylight,Fine,December,Sunday,2
Serious,North East,Daylight,Raining,December,Monday,1
Slight,North East,Darkness - lights lit,Fine,December,Wednesday,13
